est_total_pop_u18,est_total_pop_u18_in_households,est_total_pop_u18_in_households_5yrs,est_total_pop_u18_in_households_6to8yrs,total_pop,est_total_household_income,est_total_household_income_u10k,est_total_household_income_10to15k,est_total_household_income_15to20k,est_total_household_income_20to25k,est_total_household_income_25to30k,est_total_household_income_30to35k,est_total_household_income_35to40k,est_total_household_income_40to45k,est_total_household_income_45to50k,est_total_household_income_50to60k,est_total_household_income_60to75k,est_total_household_income_75to100k,est_total_household_income_100to125k,est_total_household_income_125to150k,est_total_household_income_150to200k,est_total_household_income_200kplus,state,county,tract,GEOID
506,506,61,86,2767,1253,84,102,82,105,53,57,40,76,65,135,95,126,71,67,57,38,42,003,524000,42003524000
121,121,21,0,2226,1241,78,67,47,25,43,67,0,83,0,95,82,199,139,77,85,154,42,003,060300,42003060300
235,225,0,58,1878,1144,117,44,149,61,55,107,27,32,40,128,148,120,47,46,16,7,42,003,080700,42003080700
275,275,10,10,1845,877,48,43,72,61,38,14,37,18,75,129,34,83,72,44,54,55,42,003,100500,42003100500
249,249,0,42,2770,1874,233,227,189,159,197,197,94,42,78,71,88,172,50,29,13,35,42,003,111500,42003111500
997,997,63,90,5446,2306,49,31,47,65,66,33,100,79,30,146,346,316,303,281,370,44,42,003,427100,42003427100
959,959,42,82,5740,2457,52,30,145,125,89,58,54,91,72,165,237,392,288,316,147,196,42,003,429300,42003429300
334,328,0,21,2355,1232,46,50,121,60,59,90,84,54,47,82,107,204,145,53,21,9,42,003,432400,42003432400
466,466,31,77,1904,782,14,21,3,23,27,34,17,30,13,61,86,86,97,67,84,119,42,003,434000,42003434000
530,530,8,55,2973,1544,101,37,133,153,87,137,76,112,50,170,113,185,128,24,30,8,42,003,450700,42003450700
1141,1141,26,245,3960,1411,32,9,10,24,46,35,0,39,44,62,130,243,137,169,195,236,42,003,456001,42003456001
892,892,44,200,4759,2152,94,14,44,115,29,183,41,141,32,275,152,331,260,182,112,147,42,003,456004,42003456004
286,259,31,37,1484,750,52,34,72,38,31,45,52,44,11,86,65,85,65,37,27,6,42,003,457100,42003457100
636,636,20,51,3484,1726,112,209,49,139,114,38,69,75,109,123,175,209,108,44,142,11,42,003,457200,42003457200
771,771,0,216,2842,1113,91,32,42,19,54,63,71,42,31,228,61,190,68,44,69,8,42,003,462100,42003462100
563,563,46,142,2973,1389,90,19,58,155,65,74,63,66,54,120,133,224,151,74,31,12,42,003,470600,42003470600
312,312,0,32,2323,1130,0,105,8,47,29,58,22,50,32,77,112,199,181,88,68,54,42,003,472200,42003472200
1305,1305,183,165,5024,2142,51,133,81,148,107,9,67,32,54,80,137,255,164,247,195,382,42,003,473100,42003473100
319,319,26,53,1581,667,46,4,5,0,4,21,20,34,16,40,92,114,83,56,76,56,42,003,475102,42003475102
862,862,51,127,4686,2116,52,43,67,117,130,48,182,124,32,313,185,283,159,210,106,65,42,003,475301,42003475301
850,850,33,213,3968,1588,55,31,38,49,9,47,102,53,36,66,182,228,227,190,163,112,42,003,475303,42003475303
1488,1488,113,251,6110,2523,237,31,129,181,124,144,94,30,153,159,291,354,257,149,121,69,42,003,477300,42003477300
382,382,26,64,2050,869,43,24,27,42,26,38,15,65,82,64,84,125,106,60,36,32,42,003,479000,42003479000
678,678,47,132,3529,1264,18,60,17,50,55,24,38,46,55,37,141,293,243,80,72,35,42,003,480200,42003480200
344,344,26,25,1782,846,61,65,48,46,28,62,41,26,18,85,66,84,82,69,45,20,42,003,482500,42003482500
1010,1010,17,167,4854,1900,60,29,0,24,55,25,45,114,87,77,212,300,270,271,186,145,42,003,490004,42003490004
379,379,14,98,3056,1586,44,25,48,23,38,59,36,75,71,122,165,176,210,163,197,134,42,003,518001,42003518001
549,549,69,67,2957,1277,17,0,23,39,17,40,48,41,81,57,132,211,151,78,193,149,42,003,519000,42003519000
633,633,44,64,3697,1552,197,122,48,76,52,30,50,96,42,150,116,218,126,108,113,8,42,003,523100,42003523100
834,834,60,182,4794,2391,132,54,145,66,97,84,201,82,167,352,417,347,97,30,99,21,42,003,523400,42003523400
