est_total_pop_u18,est_total_pop_u18_in_households,est_total_pop_u18_in_households_5yrs,est_total_pop_u18_in_households_6to8yrs,total_pop,est_total_household_income,est_total_household_income_u10k,est_total_household_income_10to15k,est_total_household_income_15to20k,est_total_household_income_20to25k,est_total_household_income_25to30k,est_total_household_income_30to35k,est_total_household_income_35to40k,est_total_household_income_40to45k,est_total_household_income_45to50k,est_total_household_income_50to60k,est_total_household_income_60to75k,est_total_household_income_75to100k,est_total_household_income_100to125k,est_total_household_income_125to150k,est_total_household_income_150to200k,est_total_household_income_200kplus,state,county,tract,GEOID,below60k,below60asperc
427,427,16,56,2098,830,63,107,106,100,35,22,25,22,15,91,31,29,93,25,23,43,42,3,120300,42003120300,586,0.7060240963855422
217,217,0,42,3011,1861,256,242,108,58,38,68,11,32,10,121,62,224,167,160,156,148,42,3,160900,42003160900,944,0.5072541644277271
209,209,20,76,1922,996,84,98,35,37,84,44,74,46,35,86,141,69,71,16,43,33,42,3,191500,42003191500,623,0.6255020080321285
221,221,18,13,2326,1307,89,89,33,83,108,74,44,51,27,100,53,146,156,111,64,79,42,3,240600,42003240600,698,0.5340474368783473
52,52,0,10,933,453,17,29,30,20,15,52,13,25,12,39,45,74,22,25,18,17,42,3,270400,42003270400,252,0.5562913907284768
254,254,9,12,1620,842,95,89,128,74,20,38,30,11,56,73,88,32,60,30,18,0,42,3,515300,42003515300,614,0.7292161520190024
228,228,0,44,1653,942,183,130,92,47,9,38,44,36,16,72,62,83,33,35,58,4,42,3,517000,42003517000,667,0.7080679405520169
854,854,66,41,4413,2231,113,289,175,163,239,188,139,108,154,113,203,229,60,51,0,7,42,3,403500,42003403500,1681,0.7534737785746302
21,18,0,0,1871,1181,315,14,46,75,82,73,27,48,21,53,83,109,101,23,41,70,42,3,40400,42003040400,754,0.6384419983065199
266,266,18,57,1491,657,49,23,31,26,55,64,19,82,18,39,71,92,14,53,21,0,42,3,523502,42003523502,406,0.6179604261796042
493,493,0,185,1487,614,107,76,91,19,32,54,20,70,16,41,37,18,19,0,14,0,42,3,561200,42003561200,526,0.8566775244299675
295,295,16,37,1439,663,61,40,53,44,50,29,54,23,23,78,51,69,37,29,8,14,42,3,494000,42003494000,455,0.6862745098039216
339,339,39,19,1348,828,301,106,105,68,89,19,21,33,10,7,25,23,0,6,0,15,42,3,50900,42003050900,759,0.9166666666666666
314,314,28,75,1606,862,56,71,96,91,37,50,34,42,73,79,46,90,52,11,20,14,42,3,420000,42003420000,629,0.7296983758700696
630,630,34,113,3237,1516,54,134,88,77,54,47,40,86,43,178,125,263,136,121,52,18,42,3,464300,42003464300,801,0.5283641160949868
475,475,0,62,2681,1276,41,50,130,98,74,83,69,35,36,68,103,224,147,69,26,23,42,3,468800,42003468800,684,0.5360501567398119
589,589,26,114,3678,1930,111,91,154,171,83,63,59,120,110,185,193,325,115,46,47,57,42,3,468900,42003468900,1147,0.5943005181347151
238,238,0,56,1285,656,82,32,43,59,43,25,30,19,38,39,92,64,61,4,7,18,42,3,417200,42003417200,410,0.625
506,506,61,86,2767,1253,84,102,82,105,53,57,40,76,65,135,95,126,71,67,57,38,42,3,524000,42003524000,799,0.6376695929768555
235,225,0,58,1878,1144,117,44,149,61,55,107,27,32,40,128,148,120,47,46,16,7,42,3,80700,42003080700,760,0.6643356643356644
275,275,10,10,1845,877,48,43,72,61,38,14,37,18,75,129,34,83,72,44,54,55,42,3,100500,42003100500,535,0.6100342075256556
249,249,0,42,2770,1874,233,227,189,159,197,197,94,42,78,71,88,172,50,29,13,35,42,3,111500,42003111500,1487,0.7934898612593383
334,328,0,21,2355,1232,46,50,121,60,59,90,84,54,47,82,107,204,145,53,21,9,42,3,432400,42003432400,693,0.5625
530,530,8,55,2973,1544,101,37,133,153,87,137,76,112,50,170,113,185,128,24,30,8,42,3,450700,42003450700,1056,0.6839378238341969
286,259,31,37,1484,750,52,34,72,38,31,45,52,44,11,86,65,85,65,37,27,6,42,3,457100,42003457100,465,0.62
636,636,20,51,3484,1726,112,209,49,139,114,38,69,75,109,123,175,209,108,44,142,11,42,3,457200,42003457200,1037,0.600811123986095
771,771,0,216,2842,1113,91,32,42,19,54,63,71,42,31,228,61,190,68,44,69,8,42,3,462100,42003462100,673,0.6046720575022462
563,563,46,142,2973,1389,90,19,58,155,65,74,63,66,54,120,133,224,151,74,31,12,42,3,470600,42003470600,764,0.5500359971202304
862,862,51,127,4686,2116,52,43,67,117,130,48,182,124,32,313,185,283,159,210,106,65,42,3,475301,42003475301,1108,0.5236294896030246
1488,1488,113,251,6110,2523,237,31,129,181,124,144,94,30,153,159,291,354,257,149,121,69,42,3,477300,42003477300,1282,0.5081252477209671
344,344,26,25,1782,846,61,65,48,46,28,62,41,26,18,85,66,84,82,69,45,20,42,3,482500,42003482500,480,0.5673758865248227
633,633,44,64,3697,1552,197,122,48,76,52,30,50,96,42,150,116,218,126,108,113,8,42,3,523100,42003523100,863,0.5560567010309279
834,834,60,182,4794,2391,132,54,145,66,97,84,201,82,167,352,417,347,97,30,99,21,42,3,523400,42003523400,1380,0.5771643663739021
880,880,0,76,5462,2520,163,141,106,130,134,148,134,54,160,233,390,335,132,49,167,44,42,3,523702,42003523702,1403,0.5567460317460318
277,277,6,55,2269,1261,29,57,85,91,32,76,62,50,38,163,172,136,98,20,54,98,42,3,525200,42003525200,683,0.5416336241078509
164,147,0,0,1691,984,131,80,82,102,26,57,71,15,116,114,75,78,17,8,0,12,42,3,560400,42003560400,794,0.806910569105691
570,570,0,183,4053,2593,244,154,320,181,152,247,110,192,109,272,183,205,100,40,38,46,42,3,561400,42003561400,1981,0.7639799460084844
166,166,14,39,1574,846,5,46,59,52,39,50,31,67,76,111,93,75,64,25,34,19,42,3,416000,42003416000,536,0.6335697399527187
455,455,20,28,2428,1181,185,49,183,74,93,82,53,44,56,74,94,64,62,22,15,31,42,3,552000,42003552000,893,0.756138865368332
647,647,9,88,3104,1504,120,40,191,181,136,100,91,26,30,52,77,120,160,97,47,36,42,3,484300,42003484300,967,0.6429521276595744
470,469,24,87,1588,618,88,31,67,18,31,46,94,4,55,28,58,48,36,10,4,0,42,3,486800,42003486800,462,0.7475728155339806
